活动名称,环节标题,发言文本
【初中地理】初中地理课程如何进行探究式教学,说困惑,"怎样才能实现提出问题的探究目标呢？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"怎样让每位学生积极的参与到提出的问题中？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"现在的学生缺乏主动分析、知识的综合应用，语言组织表达能力比较薄弱，常识性知识比较匮乏
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"情境教学怎样贯穿始终，经常虎头蛇尾。
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"七年级世界地理部分地区距离学生现实生活太遥远，对于创设的情景并无实际体会。
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"基于探究的学习首先是学生的自主学习。所谓独立学习，是指学生通过独立教育氛围中的主动性和创造性积极参与学习的活动。课堂教学中如何将教师主体地位改变为学生主体地位？，探究”主题的设计应该基于教学内容和学生的实际情况，并且很容易掌握学生。理解和掌握的思想和活动，将知识，能力和实践融入到过程中。探究活动。但是班级中学情不一样在情景问题设置中该如何做到分层设计？

"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"情景创设有时候过于死搬硬套，且部分国语水平差的学生不能从文字或者材料中体会情景。
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"在初中地理探究式教学中，学生对地理现象的成因常常缺乏深入的理解，很难做到考虑多因素的综合影响，在课堂上较难营造出探究与思考的学习环境，想要做到充分调动学生的主观能动性，实现学生主动积极的参与地理课堂学习比较困难。
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"在导课时创设情境，能使导课环节眼前一亮，但在课堂环节中有时又被忽略，不能贯穿始终，大家有什么好的做法吗？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"引课的教学情境很难贯穿整节课有什么好办法
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"创设情境中怎样才能把情境用透？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"情景设置怎么与学生的兴趣点对接？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"一种情景教学创设是建立在了解学生学情的基础上，另一种是符合大众普遍认知的
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"地理活动情景和主题的选择既要生动有趣又要贴近学生的生活实际需要狠下功夫研究，目前课堂教学中很多情景的创设生搬硬套无法实现课堂趣味性和生活性相匹配，同时情景教学往往无法一景到底，使情景教学虎头蛇尾。
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"七年级地理，地球和地球仪这部分内容怎么让学生更好参与到情境创设中，咱们更好的提出一些问题？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"如何创设地理课堂有效教学的问题情境？
"
【初中地理】初中地理课程如何进行探究式教学,说困惑,"   探究式教学改变了以往以教师传授为主的教学方式，怎样调动学生的积极性，使其充分参与其中，从而达到教学的真正目的？
"
